No.,Fecha de ingreso,No. proceso,Acción / Infracción
45,20/12/2021,08282202112782,"389 CONTRAVENCIONES DE TRÁNSITO DE CUARTA CLASE, INC.1, NUM. 1"
46,20/12/2021,08282202112781,"389 CONTRAVENCIONES DE TRÁNSITO DE CUARTA CLASE, INC.1, NUM. 1"
47,20/12/2021,08282202112780,"389 CONTRAVENCIONES DE TRÁNSITO DE CUARTA CLASE, INC.1, NUM. 1"
48,20/12/2021,08282202112779,"389 CONTRAVENCIONES DE TRÁNSITO DE CUARTA CLASE, INC.1, NUM. 1"
49,20/12/2021,08282202112778,"389 CONTRAVENCIONES DE TRÁNSITO DE CUARTA CLASE, INC.1, NUM. 1"
50,13/12/2021,07333202103082,CONCURSO DE ACREEDORES
51,13/12/2021,07333202103079,CONCURSO DE ACREEDORES
52,08/12/2021,07317202100918,PAGO POR CONSIGNACIÓN
53,22/11/2021,08282202111571,"389 CONTRAVENCIONES DE TRÁNSITO DE CUARTA CLASE, INC.1, NUM. 1"
54,22/11/2021,08282202111570,"389 CONTRAVENCIONES DE TRÁNSITO DE CUARTA CLASE, INC.1, NUM. 1"
55,22/11/2021,08282202111569,"389 CONTRAVENCIONES DE TRÁNSITO DE CUARTA CLASE, INC.1, NUM. 1"
56,22/11/2021,08282202111568,"389 CONTRAVENCIONES DE TRÁNSITO DE CUARTA CLASE, INC.1, NUM. 1"
57,22/11/2021,08282202111566,"389 CONTRAVENCIONES DE TRÁNSITO DE CUARTA CLASE, INC.1, NUM. 1"
58,22/11/2021,08282202111565,"389 CONTRAVENCIONES DE TRÁNSITO DE CUARTA CLASE, INC.1, NUM. 1"
59,22/11/2021,08282202111564,"389 CONTRAVENCIONES DE TRÁNSITO DE CUARTA CLASE, INC.1, NUM. 1"
60,22/11/2021,08282202111561,"389 CONTRAVENCIONES DE TRÁNSITO DE CUARTA CLASE, INC.1, NUM. 1"
61,22/11/2021,08282202111560,"389 CONTRAVENCIONES DE TRÁNSITO DE CUARTA CLASE, INC.1, NUM. 1"
62,22/11/2021,08282202111559,"389 CONTRAVENCIONES DE TRÁNSITO DE CUARTA CLASE, INC.1, NUM. 1"
63,22/11/2021,08282202111557,"389 CONTRAVENCIONES DE TRÁNSITO DE CUARTA CLASE, INC.1, NUM. 1"
64,22/11/2021,08282202111556,"389 CONTRAVENCIONES DE TRÁNSITO DE CUARTA CLASE, INC.1, NUM. 1"
65,22/11/2021,08282202111555,"389 CONTRAVENCIONES DE TRÁNSITO DE CUARTA CLASE, INC.1, NUM. 1"
66,22/11/2021,08282202111554,"389 CONTRAVENCIONES DE TRÁNSITO DE CUARTA CLASE, INC.1, NUM. 1"
67,22/11/2021,08282202111553,"389 CONTRAVENCIONES DE TRÁNSITO DE CUARTA CLASE, INC.1, NUM. 1"
68,22/11/2021,08282202111552,"389 CONTRAVENCIONES DE TRÁNSITO DE CUARTA CLASE, INC.1, NUM. 1"
69,22/11/2021,08282202111551,"389 CONTRAVENCIONES DE TRÁNSITO DE CUARTA CLASE, INC.1, NUM. 1"
70,22/11/2021,08282202111550,"389 CONTRAVENCIONES DE TRÁNSITO DE CUARTA CLASE, INC.1, NUM. 1"
71,22/11/2021,08282202111549,"389 CONTRAVENCIONES DE TRÁNSITO DE CUARTA CLASE, INC.1, NUM. 1"
72,22/11/2021,08282202111548,"389 CONTRAVENCIONES DE TRÁNSITO DE CUARTA CLASE, INC.1, NUM. 1"
73,22/11/2021,08282202111547,"389 CONTRAVENCIONES DE TRÁNSITO DE CUARTA CLASE, INC.1, NUM. 1"
74,22/11/2021,08282202111546,"389 CONTRAVENCIONES DE TRÁNSITO DE CUARTA CLASE, INC.1, NUM. 1"
75,22/11/2021,08282202111545,"389 CONTRAVENCIONES DE TRÁNSITO DE CUARTA CLASE, INC.1, NUM. 1"
76,22/11/2021,08282202111544,"389 CONTRAVENCIONES DE TRÁNSITO DE CUARTA CLASE, INC.1, NUM. 1"
77,18/11/2021,08282202111531,"389 CONTRAVENCIONES DE TRÁNSITO DE CUARTA CLASE, INC.1, NUM. 1"
78,18/11/2021,08282202111530,"389 CONTRAVENCIONES DE TRÁNSITO DE CUARTA CLASE, INC.1, NUM. 1"
79,18/11/2021,08282202111529,"389 CONTRAVENCIONES DE TRÁNSITO DE CUARTA CLASE, INC.1, NUM. 1"
80,18/11/2021,08282202111528,"389 CONTRAVENCIONES DE TRÁNSITO DE CUARTA CLASE, INC.1, NUM. 1"
81,18/11/2021,08282202111527,"389 CONTRAVENCIONES DE TRÁNSITO DE CUARTA CLASE, INC.1, NUM. 1"
82,18/11/2021,08282202111526,"389 CONTRAVENCIONES DE TRÁNSITO DE CUARTA CLASE, INC.1, NUM. 1"
83,18/11/2021,08282202111524,"389 CONTRAVENCIONES DE TRÁNSITO DE CUARTA CLASE, INC.1, NUM. 1"
84,18/11/2021,08282202111522,"389 CONTRAVENCIONES DE TRÁNSITO DE CUARTA CLASE, INC.1, NUM. 1"
85,18/11/2021,08282202111520,"389 CONTRAVENCIONES DE TRÁNSITO DE CUARTA CLASE, INC.1, NUM. 1"
86,18/11/2021,08282202111519,"389 CONTRAVENCIONES DE TRÁNSITO DE CUARTA CLASE, INC.1, NUM. 1"
87,17/11/2021,08282202111449,"389 CONTRAVENCIONES DE TRÁNSITO DE CUARTA CLASE, INC.1, NUM. 1"
88,17/11/2021,08282202111447,"389 CONTRAVENCIONES DE TRÁNSITO DE CUARTA CLASE, INC.1, NUM. 1"
89,17/11/2021,08282202111442,"389 CONTRAVENCIONES DE TRÁNSITO DE CUARTA CLASE, INC.1, NUM. 1"
90,17/11/2021,08282202111404,"389 CONTRAVENCIONES DE TRÁNSITO DE CUARTA CLASE, INC.1, NUM. 1"
91,28/10/2021,07333202102617,CONCURSO DE ACREEDORES
92,28/10/2021,07333202102616,CONCURSO DE ACREEDORES
93,27/10/2021,07333202102611,CONCURSO DE ACREEDORES
94,27/10/2021,07333202102609,CONCURSO DE ACREEDORES
95,27/10/2021,07333202102608,CONCURSO DE ACREEDORES
96,30/08/2021,13284202107492,"389 CONTRAVENCIONES DE TRÁNSITO DE CUARTA CLASE, INC.1, NUM. 1"
97,30/08/2021,13284202107490,"389 CONTRAVENCIONES DE TRÁNSITO DE CUARTA CLASE, INC.1, NUM. 6"
98,30/08/2021,13284202107489,"389 CONTRAVENCIONES DE TRÁNSITO DE CUARTA CLASE, INC.1, NUM. 1"
99,28/08/2021,23281202103446,209 CONTRAVENCIÓN DE HURTO
100,13/08/2021,13284202106703,"389 CONTRAVENCIONES DE TRÁNSITO DE CUARTA CLASE, INC.1, NUM. 6"
101,12/07/2021,13284202106904G,ARCHIVO DE LA INVESTIGACIÓN PREVIA ART. 586
102,30/06/2021,09332202108068,CONCURSO DE ACREEDORES
103,04/06/2021,24202202100370G,ARCHIVO DE LA INVESTIGACIÓN PREVIA ART. 586
104,02/06/2021,24202202100341G,ARCHIVO DE LA INVESTIGACIÓN PREVIA ART. 586
105,28/05/2021,21331202100198,MEDIDA CAUTELAR
106,06/05/2021,24202202100179G,ARCHIVO DE LA INVESTIGACIÓN PREVIA ART. 586
107,13/04/2021,09802202100428,CONTROVERSIAS EN MATERIA DE CONTRATACIÓN PÚBLICA
108,29/10/2020,13284202007698,"389 CONTRAVENCIONES DE TRÁNSITO DE CUARTA CLASE, INC.1, NUM. 6"
109,21/08/2020,09284202001942G,ARCHIVO DE LA INVESTIGACIÓN PREVIA ART. 586
110,18/02/2020,13284202001312G,ARCHIVO DE LA INVESTIGACIÓN PREVIA ART. 586
111,26/12/2019,13284201907041,"389 CONTRAVENCIONES DE TRÁNSITO DE CUARTA CLASE, INC.1, NUM. 6"
112,18/09/2019,09802201900978,SUBJETIVO
113,16/09/2019,11804201900305,CONTROVERSIAS EN MATERIA DE CONTRATACIÓN PÚBLICA
114,29/08/2019,13802201900316,SUBJETIVO
115,29/08/2019,13802201900315,CONTROVERSIAS EN MATERIA DE CONTRATACIÓN PÚBLICA
116,20/06/2019,09501201900205,EXCEPCIONES A LA COACTIVA
117,26/03/2019,08304201900023,ACCIÓN DE PROTECCIÓN CON MEDIDA CAUTELAR
118,12/10/2018,09802201800988,CONTROVERSIAS EN MATERIA DE CONTRATACIÓN PÚBLICA
119,22/06/2018,13337201800757,COBRO DE DINERO
120,29/05/2018,08304201800030,NULIDAD DE SENTENCIA
121,23/05/2018,09802201800458,SUBJETIVO
122,17/04/2018,13802201800144,SUBJETIVO
123,08/03/2018,09802201800201,SUBJETIVO
124,08/03/2018,09802201800200,CONTROVERSIAS EN MATERIA DE CONTRATACIÓN PÚBLICA
125,08/03/2018,09802201800199,SUBJETIVO
126,08/03/2018,09802201800198,CONTROVERSIAS EN MATERIA DE CONTRATACIÓN PÚBLICA
127,08/03/2018,09802201800197,CONTROVERSIAS EN MATERIA DE CONTRATACIÓN PÚBLICA
128,08/03/2018,09802201800196,CONTROVERSIAS EN MATERIA DE CONTRATACIÓN PÚBLICA
129,20/12/2017,13322201700898G,ARCHIVO DE LA INVESTIGACIÓN PREVIA ART. 586
130,15/09/2017,08331201700288G,COMISIÓN
131,01/08/2017,13802201700222,SUBJETIVO
132,01/08/2017,13802201700213,OBJETIVO
133,23/01/2017,09802201700048,SUBJETIVO
134,02/12/2016,09802201600993,OBJETIVO
135,12/07/2016,09286201602913,"377 MUERTE CULPOSA, INC.1"
136,16/06/2015,13334201501114,DAÑOS Y PERJUICIOS
137,19/05/2015,09406201524097G,REGISTRO DE CONTRATO DE ARRENDAMIENTO
138,28/05/2014,09332201458985,COPIA DE ESTADO DE CUENTA O LIQUIDACION DE CONSUMO TARJETAS DE CREDITO ART. 828 C.P.C
139,06/05/2014,09332201455654,COPIA DE ESTADO DE CUENTA O LIQUIDACION DE CONSUMO TARJETAS DE CREDITO ART. 828 C.P.C
140,25/04/2014,1233420143617,HABERES E INDEMNIZACIONES LABORALES
141,20/03/2014,09332201445870,INSOLVENCIA ARTS. 519 A 525 CP.C.
142,15/02/2014,09332201430792,EJECUTIVO ART. 413 C.P.C.
143,10/02/2014,09332201428147,FACTURAS ART. 828 C.P.C
144,06/02/2014,09332201425779,NULIDAD DE INSTRUMENTO PUBLICO O PRIVADO ART. 1697 C.C.
145,28/01/2014,09332201419336,EXPROPIACIÓN
146,27/01/2014,09332201418522,EXPROPIACIÓN
147,21/01/2014,09332201414034,"EXPROPIACION ART. 781 CP.C., ART. 852 C.C."
148,20/01/2014,09332201413210,EXPROPIACIÓN
149,15/01/2014,09332201411512,ASUNTOS DE COMERCIO QUE NO TIENEN TRAMITE ESPECIAL ART. 828 C.P.C
150,07/01/2014,0933220144801,EXPROPIACIÓN
